,Module,Smiles,BGC_Compound
450,amino_Mod.8,CC=C(NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](C)N)C(C)O)C(=O)N[C@@H](CCCN)C(=O)N[C@@H](CO)C(=O)N[C@H](CCCNC(=N)N)C(=O)[S],Delftibactin
451,amino_Mod.9,CC=C(NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](C)N)C(C)O)C(=O)N[C@@H](CCCN)C(=O)N[C@@H](CO)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](CCCN)C(=O)O,Delftibactin
452,gerSI_Mod.0,CC(=O)[S],Dihydrochalcomycin
453,gerSI_Mod.1,C[C@@H](O)[C@@H](C)C(=O)[S],Dihydrochalcomycin
454,gerSI_Mod.2,C[C@@H](C=[C]C(=O)[S])[C@@H](C)O,Dihydrochalcomycin
455,gerSII_Mod.3,C[C@@H](C=[C]C=[C]C(=O)[S])[C@@H](C)O,Dihydrochalcomycin
456,gerSIII_Mod.4,C[C@H](C(=O)[S])C(=O)[C]=C[C]=C[C@H](C)[C@@H](C)O,Dihydrochalcomycin
457,gerSIII_Mod.5,C[C@@H]([CH][C@@H](C)C(=O)[C]=C[C]=C[C@H](C)[C@@H](C)O)C(=O)[S],Dihydrochalcomycin
458,gerSIV_Mod.6,C[C@@H]([CH][C@@H](C)C(=O)[C]=C[C]=C[C@H](C)[C@@H](C)O)[C@H](O)[C@@H](C)C(=O)[S],Dihydrochalcomycin
459,gerSV_Mod.7,C[C@H]1[CH][C@@H](C)C(=O)[C]=C[C]=C[C@H](C)[C@@H](C)OC(=O)CC(=O)[C@H](C)[C@H]1O,Dihydrochalcomycin
460,divK_Mod.0,Nc1cc(O)cc(C(=O)[S])c1,Divergolide
461,divK_Mod.1,CC(=Cc1cc(N)cc(O)c1)C(=O)[S],Divergolide
462,divK_Mod.2,CC(=Cc1cc(N)cc(O)c1)C(=O)CC(=O)[S],Divergolide
463,divK_Mod.3,CC(=Cc1cc(N)cc(O)c1)C(=O)CC(=O)CC(=O)[S],Divergolide
464,divL1_Mod.4,CC[C@@H]([CH]CC(=O)CC(=O)C(C)=Cc1cc(N)cc(O)c1)C(=O)[S],Divergolide
465,divL2_Mod.5,CC[C@@H]([CH]CC(=O)CC(=O)C(C)=Cc1cc(N)cc(O)c1)C=[C]C(=O)[S],Divergolide
466,divL3_Mod.6,CC[C@@H]([CH]CC(=O)CC(=O)C(C)=Cc1cc(N)cc(O)c1)C=[C][CH][C@@H](C(=O)[S])C(C)C,Divergolide
467,divM_Mod.7,CC[C@@H]([CH]CC(=O)CC(=O)C(C)=Cc1cc(N)cc(O)c1)C=[C][CH][C@@H](C(=O)[C@@H](C)C(=O)[S])C(C)C,Divergolide
468,divM_Mod.8,CC[C@@H]([CH]CC(=O)CC(=O)C(C)=Cc1cc(N)cc(O)c1)C=[C][CH][C@@H](C(=O)[C@@H](C)C=[C]C(=O)[S])C(C)C,Divergolide
469,polyketide_Mod.0,CC(=O)[S],E-837
470,polyketide_Mod.1,CC=C(C)C(=O)[S],E-837
471,polyketide_Mod.2,CC=C(C)[C@H](O)[C@H](C)C(=O)[S],E-837
472,polyketide_Mod.3,CC=C(C)[C@H](O)[C@H](C)C=[C]C(=O)[S],E-837
473,polyketide_Mod.4,CC=C(C)[C@H](O)[C@H](C)C=[C]C=C(C)C(=O)[S],E-837
474,polyketide_Mod.5,CC=C(C)[C@H](O)[C@H](C)C=[C]C=C(C)[CH][CH]C(=O)[S],E-837
475,polyketide_Mod.6,CC=C(C)[C@H](O)[C@H](C)C=[C]C=C(C)[CH][CH][C@@H](O)CC(=O)[S],E-837
476,polyketide_Mod.7,CC=C(C)[C@H](O)[C@H](C)C=[C]C=C(C)[CH][CH][C@@H](O)CC(=O)[C@@H](C)C(=O)[S],E-837
477,polyketide_Mod.8,CC=C(C)[C@H](O)[C@H](C)C=[C]C=C(C)[CH][CH][C@@H](O)CC(=O)[C@@H](C)C(=O)[C@H](C)C(=O)O,E-837
478,polyketide_Mod.01,NCCCC(=O)[S],ECO-02301
479,polyketide_Mod.110,NCCC[C@@H](O)CC(=O)[S],ECO-02301
480,polyketide_Mod.27,NCCC[C@@H](O)C[C@@H](O)CC(=O)[S],ECO-02301
481,polyketide_Mod.31,NCCC[C@@H](O)C[C@@H](O)CC=[C]C(=O)[S],ECO-02301
482,polyketide_Mod.41,NCCC[C@@H](O)C[C@@H](O)CC=[C][C@@H](O)CC(=O)[S],ECO-02301
483,polyketide_Mod.51,NCCC[C@@H](O)C[C@@H](O)CC=[C][C@@H](O)C[C@H](O)CC(=O)[S],ECO-02301
484,polyketide_Mod.61,NCCC[C@@H](O)C[C@@H](O)CC=[C][C@@H](O)C[C@H](O)C[C@@H](O)CC(=O)[S],ECO-02301
485,polyketide_Mod.71,NCCC[C@@H](O)C[C@@H](O)CC=[C][C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)CC(=O)[S],ECO-02301
486,polyketide_Mod.81,NCCC[C@@H](O)C[C@@H](O)CC=[C][C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)CC=[C]C(=O)[S],ECO-02301
487,polyketide_Mod.9,NCCC[C@@H](O)C[C@@H](O)CC=[C][C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)CC=[C][C@@H](O)CC(=O)[S],ECO-02301
488,polyketide_Mod.10,NCCC[C@@H](O)C[C@@H](O)CC=[C][C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)CC=[C][C@@H](O)C[C@@H](O)CC(=O)[S],ECO-02301
489,polyketide_Mod.11,NCCC[C@@H](O)C[C@@H](O)CC=[C][C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)CC=[C][C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)[S],ECO-02301
490,polyketide_Mod.12,C[C@@H](C(=O)[S])C(=O)C[C@H](O)C[C@H](O)C[C@H](O)[C]=CC[C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)[C]=CC[C@H](O)C[C@H](O)CCCN,ECO-02301
491,polyketide_Mod.13,C[C@H](C(=O)C[C@H](O)C[C@H](O)C[C@H](O)[C]=CC[C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)[C]=CC[C@H](O)C[C@H](O)CCCN)[C@@H](O)CC(=O)[S],ECO-02301
492,polyketide_Mod.14,C[C@H](C(=O)C[C@H](O)C[C@H](O)C[C@H](O)[C]=CC[C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)[C]=CC[C@H](O)C[C@H](O)CCCN)[C@@H](O)CC=[C]C(=O)[S],ECO-02301
493,polyketide_Mod.15,C[C@H](C(=O)C[C@H](O)C[C@H](O)C[C@H](O)[C]=CC[C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)[C]=CC[C@H](O)C[C@H](O)CCCN)[C@@H](O)CC=[C]C=[C]C(=O)[S],ECO-02301
494,polyketide_Mod.16,C[C@H](C(=O)C[C@H](O)C[C@H](O)C[C@H](O)[C]=CC[C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)[C]=CC[C@H](O)C[C@H](O)CCCN)[C@@H](O)CC=[C]C=[C]C=[C]C(=O)[S],ECO-02301
495,polyketide_Mod.17,C[C@H](C(=O)C[C@H](O)C[C@H](O)C[C@H](O)[C]=CC[C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)[C]=CC[C@H](O)C[C@H](O)CCCN)[C@@H](O)CC=[C]C=[C]C=[C]C=[C]C(=O)[S],ECO-02301
496,polyketide_Mod.18,C[C@H](C(=O)C[C@H](O)C[C@H](O)C[C@H](O)[C]=CC[C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)[C]=CC[C@H](O)C[C@H](O)CCCN)[C@@H](O)CC=[C]C=[C]C=[C]C=[C]C=[C]C(=O)[S],ECO-02301
497,polyketide_Mod.19,C[C@H](C(=O)C[C@H](O)C[C@H](O)C[C@H](O)[C]=CC[C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)[C]=CC[C@H](O)C[C@H](O)CCCN)[C@@H](O)CC=[C]C=[C]C=[C]C=[C]C=[C][C@@H](O)[C@H](C)C(=O)[S],ECO-02301
498,polyketide_Mod.20,C[C@H](C(=O)C[C@H](O)C[C@H](O)C[C@H](O)[C]=CC[C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)[C]=CC[C@H](O)C[C@H](O)CCCN)[C@@H](O)CC=[C]C=[C]C=[C]C=[C]C=[C][C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)C(=O)[S],ECO-02301
499,polyketide_Mod.21,C[C@@H](C=[C]C(=O)[S])[C@H](O)[C@@H](C)[C@H](O)[C]=C[C]=C[C]=C[C]=C[C]=CC[C@H](O)[C@H](C)C(=O)C[C@H](O)C[C@H](O)C[C@H](O)[C]=CC[C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)[C]=CC[C@H](O)C[C@H](O)CCCN,ECO-02301
500,polyketide_Mod.22,C[C@@H](C=[C][CH][CH]C(=O)[S])[C@H](O)[C@@H](C)[C@H](O)[C]=C[C]=C[C]=C[C]=C[C]=CC[C@H](O)[C@H](C)C(=O)C[C@H](O)C[C@H](O)C[C@H](O)[C]=CC[C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)[C]=CC[C@H](O)C[C@H](O)CCCN,ECO-02301
501,polyketide_Mod.23,C[C@@H](C=[C][CH][CH]C=[C]C(=O)[S])[C@H](O)[C@@H](C)[C@H](O)[C]=C[C]=C[C]=C[C]=C[C]=CC[C@H](O)[C@H](C)C(=O)C[C@H](O)C[C@H](O)C[C@H](O)[C]=CC[C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)[C]=CC[C@H](O)C[C@H](O)CCCN,ECO-02301
502,polyketide_Mod.24,C[C@@H](C=[C][CH][CH]C=[C]C=[C]C(=O)[S])[C@H](O)[C@@H](C)[C@H](O)[C]=C[C]=C[C]=C[C]=C[C]=CC[C@H](O)[C@H](C)C(=O)C[C@H](O)C[C@H](O)C[C@H](O)[C]=CC[C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)[C]=CC[C@H](O)C[C@H](O)CCCN,ECO-02301
503,polyketide_Mod.25,C[C@@H](C=[C][CH][CH]C=[C]C=[C]C=[C]C(=O)[S])[C@H](O)[C@@H](C)[C@H](O)[C]=C[C]=C[C]=C[C]=C[C]=CC[C@H](O)[C@H](C)C(=O)C[C@H](O)C[C@H](O)C[C@H](O)[C]=CC[C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)[C]=CC[C@H](O)C[C@H](O)CCCN,ECO-02301
504,polyketide_Mod.26,C[C@@H](C=[C][CH][CH]C=[C]C=[C]C=[C]C=[C]C(=O)O)[C@H](O)[C@@H](C)[C@H](O)[C]=C[C]=C[C]=C[C]=C[C]=CC[C@H](O)[C@H](C)C(=O)C[C@H](O)C[C@H](O)C[C@H](O)[C]=CC[C@@H](O)C[C@H](O)C[C@@H](O)C[C@H](O)[C]=CC[C@H](O)C[C@H](O)CCCN,ECO-02301
505,ebeA-type_Mod.0,CC(=O)[S],Ebelactone
506,EbeB-type_Mod.1,C[CH][C@H](C)C(=O)[S],Ebelactone
507,ebeC-type_Mod.2,C[CH][C@H](C)[C@@H](O)[C@H](C)C(=O)[S],Ebelactone
508,ebeC-type_Mod.3,C[CH][C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@H](C)C(=O)[S],Ebelactone
509,ebeD-type_Mod.4,C[CH][C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@H](C)C=C(C)C(=O)[S],Ebelactone
510,ebeD-type_Mod.5,C[CH][C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@H](C)C=C(C)[CH][C@H](C)C(=O)[S],Ebelactone
511,ebeE-type_Mod.6,C[CH][C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@H](C)C=C(C)[CH][C@H](C)[C@H](O)[C@H](C)C(=O)[S],Ebelactone
512,non-ribosomal_Mod.03,CN[C@H](C(=O)[S])C(C)C,Ecumicin
513,non-ribosomal_Mod.13,CN[C@H](C(=O)N[C@H](C(=O)[S])C(C)C)C(C)C,Ecumicin
514,non-ribosomal_Mod.22,CCC(C)[C@@H](C(=O)[S])N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,Ecumicin
515,non-ribosomal_Mod.32,CCC(C)[C@@H](C(=O)N[C@H](C(=O)[S])C(C)O)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,Ecumicin
516,non-ribosomal_Mod.41,CCC(C)[C@@H](C(=O)N[C@H](C(=O)N(C)[C@H](C(=O)[S])C(C)O)C(C)O)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,Ecumicin
517,non-ribosomal_Mod.51,CCC(C)[C@@H](C(=O)N[C@H](C(=O)N(C)[C@H](C(=O)N[C@H](C(=O)[S])C(C)C)C(C)O)C(C)O)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,Ecumicin
518,non-ribosomal_Mod.6,CCC(C)[C@@H](C(=O)N[C@H](C(=O)N(C)[C@H](C(=O)N[C@H](C(=O)N(C)[C@@H](CC(C)C)C(=O)[S])C(C)C)C(C)O)C(C)O)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,Ecumicin
519,non-ribosomal_Mod.7,CCC(C)[C@@H](C(=O)N[C@H](C(=O)N(C)[C@H](C(=O)N[C@H](C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(=O)[S])C(C)C)C(C)C)C(C)O)C(C)O)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,Ecumicin
520,non-ribosomal_Mod.8,CCC(C)[C@@H](C(=O)N[C@H](C(=O)N(C)[C@H](C(=O)N[C@H](C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N(C)[C@H](C(=O)[S])C(C)C)C(C)C)C(C)C)C(C)O)C(C)O)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,Ecumicin
521,non-ribosomal_Mod.9,CCC(C)[C@@H](C(=O)N[C@H](C(=O)N(C)[C@H](C(=O)N[C@H](C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](Cc1c[nH]c2ccccc12)C(=O)[S])C(C)C)C(C)C)C(C)C)C(C)O)C(C)O)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,Ecumicin
522,non-ribosomal_Mod.10,CCC(C)[C@@H](C(=O)N[C@H](C(=O)N(C)[C@H](C(=O)N[C@H](C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)[S])C(C)C)C(C)C)C(C)C)C(C)C)C(C)O)C(C)O)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,Ecumicin
523,non-ribosomal_Mod.111,CCC(C)[C@@H](C(=O)N[C@H](C(=O)N(C)[C@H](C(=O)N[C@H](C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N(C)[C@H](C(=O)N(C)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)[S])C(C)C)C(C)C)C(C)C)C(C)C)C(C)O)C(C)O)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,Ecumicin
524,non-ribosomal_Mod.121,CCC(C)[C@@H](C(=O)N[C@@H]1C(=O)N(C)[C@@H](C(C)O)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C(C)C)C(=O)OC1C)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,Ecumicin
525,epoA_Mod.0,CC(=O)[S],Epothilone
526,epoB_Mod.1,Cc1nc(C(=O)[S])cs1,Epothilone
527,epoC_Mod.2,CC(=Cc1csc(C)n1)C(=O)[S],Epothilone
528,epoD_Mod.3,CC(=Cc1csc(C)n1)[C@@H](O)CC(=O)[S],Epothilone
529,epoD_Mod.4,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)CC(=O)[S],Epothilone
530,epoD_Mod.5,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)C[CH][CH]C(=O)[S],Epothilone
531,epoD_Mod.6,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)C[CH][CH][CH][C@H](C)C(=O)[S],Epothilone
532,epoE_Mod.7,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)C[CH][CH][CH][C@H](C)[C@H](O)[C@@H](C)C(=O)[S],Epothilone
533,epoE_Mod.8,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)C[CH][CH][CH][C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)C(=O)[S],Epothilone
534,epoF_Mod.9,CC(=Cc1csc(C)n1)[C@@H]1C[C@H](O)C[CH][CH][CH][C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[CH][CH]C(=O)O1,Epothilone
535,epoA_Mod.01,CC(=O)[S],Epothilone
536,epoP_Mod.1,Cc1nc(C(=O)[S])cs1,Epothilone
537,epoB_Mod.2,CC(=Cc1csc(C)n1)C(=O)[S],Epothilone
538,epoC_Mod.3,CC(=Cc1csc(C)n1)[C@@H](O)CC(=O)[S],Epothilone
539,epoC_Mod.4,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)CC(=O)[S],Epothilone
540,epoC_Mod.5,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)C[CH][CH]C(=O)[S],Epothilone
541,epoC_Mod.6,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)C[CH][CH][CH][C@H](C)C(=O)[S],Epothilone
542,epoD_Mod.7,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)C[CH][CH][CH][C@H](C)[C@H](O)[C@@H](C)C(=O)[S],Epothilone
543,epoD_Mod.8,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)C[CH][CH][CH][C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)C(=O)[S],Epothilone
544,epoE_Mod.9,CC(=Cc1csc(C)n1)[C@@H]1C[C@H](O)C[CH][CH][CH][C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[CH][CH]C(=O)O1,Epothilone
545,epoA_Mod.02,CC(=O)[S],Epothilone
546,epoP_Mod.11,Cc1nc(C(=O)[S])cs1,Epothilone
547,epoB_Mod.21,CC(=Cc1csc(C)n1)C(=O)[S],Epothilone
548,epoC_Mod.31,CC(=Cc1csc(C)n1)[C@@H](O)CC(=O)[S],Epothilone
549,epoC_Mod.41,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)CC(=O)[S],Epothilone
550,epoC_Mod.51,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)C[CH][CH]C(=O)[S],Epothilone
551,epoC_Mod.61,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)C[CH][CH][CH][C@H](C)C(=O)[S],Epothilone
552,epoD_Mod.71,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)C[CH][CH][CH][C@H](C)[C@H](O)[C@@H](C)C(=O)[S],Epothilone
553,epoD_Mod.81,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)C[CH][CH][CH][C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)C(=O)[S],Epothilone
554,epoE_Mod.91,CC(=Cc1csc(C)n1)[C@@H]1C[C@H](O)C[CH][CH][CH][C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[CH][CH]C(=O)O1,Epothilone
555,epoA_Mod.03,CC(=O)[S],Epothilone
556,epoB_Mod.11,Cc1nc(C(=O)[S])cs1,Epothilone
557,epoC_Mod.21,CC(=Cc1csc(C)n1)C(=O)[S],Epothilone
558,epoD_Mod.31,CC(=Cc1csc(C)n1)[C@@H](O)CC(=O)[S],Epothilone
559,epoD_Mod.41,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)CC(=O)[S],Epothilone
560,epoD_Mod.51,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)C[CH][CH]C(=O)[S],Epothilone
561,epoD_Mod.61,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)C[CH][CH][CH][C@H](C)C(=O)[S],Epothilone
562,epoE_Mod.71,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)C[CH][CH][CH][C@H](C)[C@H](O)[C@@H](C)C(=O)[S],Epothilone
563,epoE_Mod.81,CC(=Cc1csc(C)n1)[C@@H](O)C[C@H](O)C[CH][CH][CH][C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)C(=O)[S],Epothilone
564,epoF_Mod.91,CC(=Cc1csc(C)n1)[C@@H]1C[C@H](O)C[CH][CH][CH][C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[CH][CH]C(=O)O1,Epothilone
565,eryAI_Mod.0,CCC(=O)[S],Erythromycin
566,eryAI_Mod.1,CC[C@@H](O)[C@H](C)C(=O)[S],Erythromycin
567,eryAI_Mod.2,CC[C@@H](O)[C@H](C)[C@H](O)[C@@H](C)C(=O)[S],Erythromycin
568,eryAII_Mod.3,CC[C@@H](O)[C@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)C(=O)[S],Erythromycin
569,eryAII_Mod.4,CC[C@@H](O)[C@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[CH][C@H](C)C(=O)[S],Erythromycin
570,eryAIII_Mod.5,CC[C@@H](O)[C@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[CH][C@H](C)[C@H](O)[C@@H](C)C(=O)[S],Erythromycin
571,eryAIII_Mod.6,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)[CH][C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,Erythromycin
572,eryAI_Mod.01,CCC(=O)[S],Erythromycin
573,eryAI_Mod.11,CC[C@@H](O)[C@H](C)C(=O)[S],Erythromycin
574,eryAI_Mod.21,CC[C@@H](O)[C@H](C)[C@H](O)[C@@H](C)C(=O)[S],Erythromycin
575,eryAII_Mod.31,CC[C@@H](O)[C@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)C(=O)[S],Erythromycin
576,eryAII_Mod.41,CC[C@@H](O)[C@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[CH][C@H](C)C(=O)[S],Erythromycin
577,eryAIII_Mod.51,CC[C@@H](O)[C@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[CH][C@H](C)[C@H](O)[C@@H](C)C(=O)[S],Erythromycin
578,eryAIII_Mod.61,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)[CH][C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,Erythromycin
579,gfsA_Mod.0,CC(=O)[S],FD-891
580,gfsA_Mod.1,C[C@H](O)[C@@H](C)C(=O)[S],FD-891
581,gfsA_Mod.2,C[C@H](C(=O)[S])[C@@H](O)[C@H](C)[C@H](C)O,FD-891
582,gfsA_Mod.3,C[C@H](O)[C@@H](C)[C@H](O)[C@H](C)[C@@H](O)CC(=O)[S],FD-891
583,gfsA_Mod.4,C[C@H](O)[C@@H](C)[C@H](O)[C@H](C)[C@@H](O)CC=[C]C(=O)[S],FD-891
584,gfsB_Mod.5,C[C@@H]([CH][C]=CC[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](C)O)C(=O)[S],FD-891
585,gfsB_Mod.6,C[C@@H]([CH][C]=CC[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](C)O)[C@@H](O)CC(=O)[S],FD-891
586,gfsB_Mod.7,C[C@@H]([CH][C]=CC[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](C)O)[C@@H](O)CC=[C]C(=O)[S],FD-891
587,gfsC_Mod.8,C[C@@H]([CH][C]=CC[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](C)O)[C@@H](O)CC=[C][CH][CH]C(=O)[S],FD-891
588,gfsD_Mod.9,C[C@@H]([CH][C]=CC[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](C)O)[C@@H](O)CC=[C][CH][CH]C=[C]C(=O)[S],FD-891
589,gfsD_Mod.10,C[C@@H]([CH][C]=CC[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](C)O)[C@@H](O)CC=[C][CH][CH]C=[C][C@@H](O)[C@@H](C)C(=O)[S],FD-891
590,gfsE_Mod.11,CC(=C[C@H](C)[C@H](O)[C]=C[CH][CH][C]=CC[C@H](O)[C@@H](C)[CH][C]=CC[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](C)O)C(=O)[S],FD-891
591,gfsE_Mod.12,CC1=C[C@H](C)[C@H](O)[C]=C[CH][CH][C]=CC[C@H](O)[C@@H](C)[CH][C]=CC[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](C)OC(=O)C(C)=C1,FD-891
592,fkbB_Mod.0,O=C([S])C1CC[C@@H](O)[C@H](O)C1,FK520
593,fkbB_Mod.1,CC(=CC1CC[C@@H](O)[C@H](O)C1)C(=O)[S],FK520
594,fkbB_Mod.2,CC(=CC1CC[C@@H](O)[C@H](O)C1)[C@@H](O)[C@H](C)C(=O)[S],FK520
595,fkbB_Mod.3,CC(=CC1CC[C@@H](O)[C@H](O)C1)[C@@H](O)[C@H](C)[C@@H](O)CC(=O)[S],FK520
596,fkbB_Mod.4,CC[C@@H](C(=O)[S])C(=O)C[C@H](O)[C@@H](C)[C@H](O)C(C)=CC1CC[C@@H](O)[C@H](O)C1,FK520
597,fkbC_Mod.5,CC[C@@H](C=C(C)C(=O)[S])C(=O)C[C@H](O)[C@@H](C)[C@H](O)C(C)=CC1CC[C@@H](O)[C@H](O)C1,FK520
598,fkbC_Mod.6,CC[C@@H](C=C(C)[CH][C@H](C)C(=O)[S])C(=O)C[C@H](O)[C@@H](C)[C@H](O)C(C)=CC1CC[C@@H](O)[C@H](O)C1,FK520
599,fkbA_Mod.7,CC[C@@H](C=C(C)[CH][C@H](C)[CH][C@H](OC)C(=O)[S])C(=O)C[C@H](O)[C@@H](C)[C@H](O)C(C)=CC1CC[C@@H](O)[C@H](O)C1,FK520
600,fkbA_Mod.8,CC[C@@H](C=C(C)[CH][C@H](C)[CH][C@H](OC)[C@@H](O)[C@@H](OC)C(=O)[S])C(=O)C[C@H](O)[C@@H](C)[C@H](O)C(C)=CC1CC[C@@H](O)[C@H](O)C1,FK520
601,fkbA_Mod.9,CC[C@@H](C=C(C)[CH][C@H](C)[CH][C@H](OC)[C@@H](O)[C@H]([CH][C@H](C)C(=O)[S])OC)C(=O)C[C@H](O)[C@@H](C)[C@H](O)C(C)=CC1CC[C@@H](O)[C@H](O)C1,FK520
