,Gene,Upstream,Downstream
150,fscC_Mod.6,NA,NA
151,fscD_Mod.1,NA,NA
152,fscD_Mod.2,NA,NA
153,fscD_Mod.3,NA,NA
154,fscD_Mod.4,NA,NA
155,fscD_Mod.5,NA,NA
156,fscD_Mod.6,NA,NA
157,fscE_Mod.1,NA,NA
158,fscE_Mod.2,NA,NA
159,fscE_Mod.3,NA,NA
160,fscE_Mod.4,NA,NA
161,fscF_Mod.1,NA,NA
364,GelA_Mod.1,NA,NA
365,GelA_Mod.2,NA,NA
366,GelA_Mod.3,NA,NA
367,GelB_Mod.1,NA,NA
368,GelB_Mod.2,NA,NA
369,GelC_Mod.1,NA,NA
370,GelC_Mod.2,mal,mmal
236,gerSI_Mod.1,NA,NA
237,gerSI_Mod.2,mal,mmal
238,gerSI_Mod.3,mmal,mal
239,gerSII_Mod.1,NA,NA
240,gerSIII_Mod.1,mal,mmal
241,gerSIII_Mod.2,NA,NA
243,gerSIV_Mod.1,mal,mmal
242,gerSV_Mod.1,mmal,mal
314,gfsA_Mod.1,NA,NA
315,gfsA_Mod.2,mal,mmal
316,gfsA_Mod.3,NA,NA
317,gfsA_Mod.4,mmal,mal
318,gfsA_Mod.5,NA,NA
319,gfsB_Mod.1,mal,mmal
320,gfsB_Mod.2,mmal,mal
321,gfsB_Mod.3,NA,NA
322,gfsC_Mod.1,NA,NA
323,gfsD_Mod.1,NA,NA
324,gfsD_Mod.2,mal,mmal
325,gfsE_Mod.1,NA,NA
326,gfsE_Mod.2,NA,NA
371,glbC_Mod.1,NA,NA
1165,gphF_Mod.1,NA,NA
1166,gphG_Mod.2,NA,NA
1167,gphH_Mod.3,NA,NA
1168,gphI_Mod.4,NA,NA
1169,gphJ_Mod.5,NA,NA
403,hbmAI_Mod.1,NA,NA
404,hbmAI_Mod.2,NA,NA
405,hbmAI_Mod.3,NA,NA
406,hbmAII_Mod.1,NA,NA
407,hbmAII_Mod.2,NA,NA
408,hbmAIII_Mod.1,NA,NA
409,hbmAIII_Mod.2,mal,mmal
410,herB_Mod.0,NA,NA
411,herB_Mod.1,NA,NA
412,herB_Mod.2,NA,NA
413,herB_Mod.3,NA,NA
414,herC_Mod.1,mmal,mal
415,herC_Mod.2,mal,mmal
416,herC_Mod.3,NA,NA
417,herC_Mod.4,mmal,mal
418,herD_Mod.1,NA,NA
419,heroB_Mod.1,NA,NA
420,heroB_Mod.2,mal,mmal
421,heroD_Mod.1,mmal,mal
422,heroD_Mod.2,NA,NA
423,heroE_Mod.1,NA,NA
424,heroF_Mod.1,mal,mmal
425,heroF_Mod.2,mmal,mal
426,heroG_Mod.1,NA,NA
436,hgcA_Mod.1,NA,NA
437,hgcA_Mod.2,mmal,mal
438,hgcA_Mod.3,NA,NA
439,hgcB_Mod.1,NA,NA
440,hgcC_Mod.1,NA,NA
441,hgcD_Mod.1,mal,mmal
442,hgcE_Mod.1,NA,NA
443,hgcE_Mod.2,mmal,mal
427,hitP1_Mod.1,NA,NA
428,hitP1_Mod.2,NA,NA
429,hitP2_Mod.1,NA,NA
430,hitP2_Mod.2,NA,NA
435,hitP3_Mod.1,NA,NA
432,hitP4_Mod.1,NA,NA
433,hitP4_Mod.2,mal,mmal
434,hitP4_Mod.3,mmal,mal
431,hitP5_Mod.1,NA,NA
384,hlsA_Mod.1,NA,NA
385,hlsA_Mod.2,NA,NA
386,hlsA_Mod.3,mmal,mal
387,hlsB_Mod.1,NA,NA
388,hlsB_Mod.2,mal,mmal
389,hlsB_Mod.3,NA,NA
390,hlsB_Mod.4,mmal,mal
391,hlsC_Mod.1,mal,mmal
392,hlsC_Mod.2,mmal,mal
393,hlsC_Mod.3,NA,NA
394,hlsD_Mod.1,mal,mmal
395,hlsD_Mod.2,mmal,mal
396,hlsD_Mod.3,NA,NA
397,hlsE_Mod.1,mal,mmal
398,hlsE_Mod.2,mmal,mal
399,hlsF_Mod.1,mal,mmal
400,hlsF_Mod.2,NA,NA
401,hlsF_Mod.3,mmal,mal
402,hlsG_Mod.1,mal,mmal
454,idmL_Mod.1,NA,NA
455,idmL_Mod.2,NA,NA
456,idmL_Mod.3,NA,NA
457,idmM_Mod.1,NA,NA
458,idmM_Mod.2,NA,NA
459,idmN_Mod.1,NA,NA
460,idmN_Mod.2,NA,NA
461,idmN_Mod.3,NA,NA
462,idmO_Mod.1,mmal,mal
463,idmP_Mod.1,mal,mmal
445,idnP1_Mod.1,NA,NA
446,idnP1_Mod.2,mmal,mal
447,idnP2_Mod.1,mal,mmal
448,idnP2_Mod.2,mmal,mal
449,idnP2_Mod.3,NA,NA
450,idnP3_Mod.1,NA,NA
451,idnP3_Mod.2,NA,NA
444,idnP4_Mod.1,NA,NA
452,idnP5_Mod.1,mal,mmal
453,idnP5_Mod.2,NA,NA
1170,jerA_Mod.0,NA,NA
1171,jerB_Mod.1,NA,NA
1172,jerB_Mod.2,mmal,mal
1173,jerC_Mod.3,mal,mmal
1174,jerC_Mod.4,mmal,mal
1175,jerD_Mod.5,NA,NA
1176,jerE_Mod.6,NA,NA
1177,jerE_Mod.7,NA,NA
467,ken12_Mod.1,NA,NA
468,ken12_Mod.2,NA,NA
469,ken13_Mod.1,NA,NA
470,ken14_Mod.1,NA,NA
471,ken14_Mod.2,mmal,mal
464,ken16_Mod.1,NA,NA
465,ken16_Mod.2,NA,NA
466,ken16_Mod.3,mmal,mal
472,kijA_Mod.0,NA,NA
473,kijA_Mod.1,mal,mmal
482,kijA_Mod.10,NA,NA
483,kijA_Mod.11,mmal,mal
474,kijA_Mod.2,mmal,mal
475,kijA_Mod.3,mal,mmal
476,kijA_Mod.4,mmal,mal
477,kijA_Mod.5,mal,mmal
478,kijA_Mod.6,mmal,mal
479,kijA_Mod.7,NA,NA
480,kijA_Mod.8,mal,mmal
481,kijA_Mod.9,NA,NA
484,ladSI_Mod.1,NA,NA
485,ladSI_Mod.2,mal,mmal
486,ladSII_Mod.1,NA,NA
487,ladSIII_Mod.1,mmal,mal
488,ladSIII_Mod.2,mal,mmal
489,ladSIV_Mod.1,NA,NA
490,ladSIV_Mod.2,mmal,mal
491,ladSV_Mod.1,mal,mmal
492,ladSV_Mod.2,mmal,mal
493,ladSVI_Mod.1,NA,NA
494,ladSVII_Mod.1,mal,mmal
495,ladSVIII_Mod.1,NA,NA
496,ladSVIII_Mod.2,NA,NA
504,lasAI_Mod.1,NA,NA
505,lasAI_Mod.2,NA,NA
506,lasAI_Mod.3,NA,NA
507,lasAII_Mod.1,NA,NA
508,lasAII_Mod.2,NA,NA
509,lasAII_Mod.3,NA,NA
510,lasAIII_Mod.1,NA,NA
511,lasAIV_Mod.1,NA,NA
512,lasAV_Mod.1,mmal,mal
513,lasAV_Mod.2,NA,NA
514,lasAVI_Mod.1,mal,mmal
515,lasAVII_Mod.1,mmal,mal
252,leoA_Mod.0,NA,NA
253,leoA_Mod.1,mal,mmal
254,leoA_Mod.2,NA,NA
255,leoB_Mod.3,mmal,mal
256,leoB_Mod.4,mal,mmal
257,leoC_Mod.5,mmal,mal
258,leoD_Mod.6,NA,NA
259,leoD_Mod.7,mal,mmal
260,leoE_Mod.8,NA,NA
516,lipPks1_Mod.0,NA,NA
517,lipPks1_Mod.1,NA,NA
518,lipPks2_Mod.1,NA,NA
519,lipPks2_Mod.2,mmal,mal
520,lipPks3_Mod.1,NA,NA
521,lipPks3_Mod.2,NA,NA
522,lipPks4_Mod.1,NA,NA
523,lipPks4_Mod.2,NA,NA
497,lkmAI_Mod.0,NA,NA
498,lkmAI_Mod.1,NA,NA
499,lkmAI_Mod.2,NA,NA
500,lkmAII_Mod.1,NA,NA
501,lkmAII_Mod.2,NA,NA
502,lkmAIII_Mod.1,NA,NA
503,lkmAIII_Mod.2,NA,NA
534,lobA1_Mod.1,NA,NA
535,lobA1_Mod.2,NA,NA
533,lobA2_Mod.1,mmal,mal
532,lobA3_Mod.1,mal,mmal
528,lobA4_Mod.1,mmal,mal
529,lobA4_Mod.2,mal,mmal
530,lobA4_Mod.3,mmal,mal
531,lobA4_Mod.4,NA,NA
524,lobA5_Mod.1,NA,NA
525,lobA5_Mod.2,mal,mmal
526,lobA5_Mod.3,mmal,mal
527,lobA5_Mod.4,mal,mmal
536,lydA_Mod.1,NA,NA
537,lydB_Mod.2,mal,mmal
538,lydB_Mod.3,mmal,mal
539,lydC_Mod.4,NA,NA
540,lydC_Mod.5,mal,mmal
541,lydC_Mod.6,mmal,mal
542,lydC_Mod.7,NA,NA
543,lydD_Mod.8,mal,mmal
544,lydD_Mod.9,NA,NA
545,lydE_Mod.10,mmal,mal
546,lydF_Mod.11,mal,mmal
547,lydF_Mod.12,mmal,mal
548,lydF_Mod.13,mal,mmal
549,lydG_Mod.14,mmal,mal
550,lydG_Mod.15,mal,mmal
551,lydH_Mod.16,mmal,mal
552,lydH_Mod.17,NA,NA
561,mbcAI_Mod.1,NA,NA
562,mbcAI_Mod.2,NA,NA
563,mbcAI_Mod.3,NA,NA
564,mbcAII_Mod.1,NA,NA
565,mbcAII_Mod.2,NA,NA
566,mbcAIII_Mod.1,mmal,mal
567,mbcAIII_Mod.2,mal,mmal
595,megAI_Mod.0,NA,NA
596,megAI_Mod.1,NA,NA
597,megAI_Mod.2,NA,NA
598,megAII_Mod.1,NA,NA
599,megAII_Mod.2,NA,NA
600,megAIII_Mod.1,NA,NA
601,megAIII_Mod.2,NA,NA
602,meiA1_Mod.0,NA,NA
603,meiA1_Mod.1,NA,NA
604,meiA1_Mod.2,mmal,mal
605,meiA2_Mod.1,NA,NA
606,meiA2_Mod.2,NA,NA
607,meiA2_Mod.3,NA,NA
608,meiA2_Mod.4,mal,mmal
609,meiA3_Mod.1,NA,NA
610,meiA3_Mod.2,mmal,mal
611,meiA3_Mod.3,mal,mmal
612,meiA4_Mod.1,mmal,mal
613,meiA4_Mod.2,mal,mmal
614,meiA4_Mod.3,mmal,mal
615,merA_Mod.1,NA,NA
616,merA_Mod.2,mal,mmal
617,merA_Mod.3,NA,NA
618,merA_Mod.4,mmal,mal
619,merB_Mod.1,NA,NA
620,merB_Mod.2,NA,NA
621,merB_Mod.3,NA,NA
622,merB_Mod.4,NA,NA
623,merC_Mod.1,mmal,mal
624,merC_Mod.2,NA,NA
625,merC_Mod.3,mal,mmal
626,merC_Mod.4,mmal,mal
627,merC_Mod.5,NA,NA
628,merC_Mod.6,mal,mmal
629,merC_Mod.7,mmal,mal
553,mlaB_Mod.1,NA,NA
554,mlaB_Mod.2,mal,mmal
555,mlaD_Mod.1,mmal,mal
556,mlaD_Mod.2,NA,NA
557,mlaE_Mod.1,NA,NA
558,mlaF_Mod.1,mal,mmal
559,mlaF_Mod.2,mmal,mal
560,mlaG_Mod.1,NA,NA
658,mlsA1_Mod.1,NA,NA
659,mlsA1_Mod.2,NA,NA
660,mlsA1_Mod.3,mal,mmal
661,mlsA1_Mod.4,NA,NA
662,mlsA1_Mod.5,NA,NA
663,mlsA1_Mod.6,mmal,mal
664,mlsA1_Mod.7,mal,mmal
665,mlsA1_Mod.8,NA,NA
666,mlsA1_Mod.9,mmal,mal
667,mlsA2_Mod.1,NA,NA
637,monAI_Mod.1,NA,NA
638,monAI_Mod.2,mal,mmal
639,monAII_Mod.1,NA,NA
640,monAIII_Mod.1,mmal,mal
641,monAIII_Mod.2,mal,mmal
642,monAIV_Mod.1,NA,NA
643,monAIV_Mod.2,NA,NA
644,monAV_Mod.1,mal,mmal
645,monAV_Mod.2,mmal,mal
646,monAVI_Mod.1,NA,NA
647,monAVII_Mod.1,mal,mmal
648,monAVIII_Mod.1,NA,NA
649,monAVIII_Mod.2,NA,NA
650,mycAI_Mod.1,NA,NA
651,mycAI_Mod.2,NA,NA
652,mycAI_Mod.3,mmal,mal
653,mycAII_Mod.1,NA,NA
654,mycAIII_Mod.1,mal,mmal
655,mycAIII_Mod.2,NA,NA
656,mycAIV_Mod.1,NA,NA
657,mycAV_Mod.1,mmal,mal
668,nanA1_Mod.1,NA,NA
669,nanA1_Mod.2,mal,mmal
670,nanA2_Mod.1,NA,NA
671,nanA3_Mod.1,mmal,mal
672,nanA3_Mod.2,mal,mmal
673,nanA4_Mod.1,NA,NA
674,nanA4_Mod.2,mmal,mal
675,nanA5_Mod.1,mal,mmal
676,nanA5_Mod.2,mmal,mal
677,nanA6_Mod.1,NA,NA
678,nanA7_Mod.1,mal,mmal
679,nanA8_Mod.1,NA,NA
680,nanA8_Mod.2,NA,NA
681,natA_Mod.1,NA,NA
682,natA_Mod.2,mmal,mal
683,natA_Mod.3,mal,mmal
684,natB_Mod.1,NA,NA
685,natB_Mod.2,NA,NA
686,natB_Mod.3,mmal,mal
687,natC_Mod.1,NA,NA
688,natC_Mod.2,mal,mmal
689,natC_Mod.3,mmal,mal
690,natD_Mod.1,mal,mmal
691,natD_Mod.2,mmal,mal
692,natE_Mod.1,NA,NA
693,natE_Mod.2,mal,mmal
132,nbrG_Mod.1,NA,NA
133,nbrG_Mod.2,NA,NA
134,nbrG_Mod.3,NA,NA
135,nbrG_Mod.4,mal,mmal
136,nbrG_Mod.5,mmal,mal
137,nbrH_Mod.1,NA,NA
138,nbrH_Mod.2,mal,mmal
139,nbrH_Mod.3,mmal,mal
140,nbrH_Mod.4,NA,NA
128,nbrI_Mod.1,NA,NA
129,nbrI_Mod.2,NA,NA
130,nbrJ_Mod.1,NA,NA
131,nbrJ_Mod.2,NA,NA
123,nbrK_Mod.2,NA,NA
124,nbrK_Mod.3,NA,NA
125,nbrL_Mod.1,NA,NA
126,nbrL_Mod.2,NA,NA
127,nbrL_Mod.3,mmal,mal
779,ncdA_Mod.0,NA,NA
780,ncdA_Mod.1,mmal,mal
781,ncdA_Mod.2,mal,mmal
782,ncdA_Mod.3,NA,NA
783,ncdB_Mod.4,mmal,mal
784,ncdB_Mod.5,NA,NA
785,ncdB_Mod.6,NA,NA
786,ncdC_Mod.7,mal,mmal
787,ncdC_Mod.8,NA,NA
788,ncdC_Mod.9,mmal,mal
789,ncdD_Mod.10,NA,NA
770,NcmAI_Mod.0,NA,NA
771,NcmAI_Mod.1,mal,mmal
772,NcmAI_Mod.2,NA,NA
773,NcmAI_Mod.3,mmal,mal
774,NcmAII_Mod.4,mal,mmal
775,NcmAIII_Mod.5,NA,NA
776,NcmAIV_Mod.6,NA,NA
777,NcmAV_Mod.7,mmal,mal
778,NcmAV_Mod.8,NA,NA
733,nemA1-1_Mod.0,NA,NA
734,nemA1-1_Mod.1,NA,NA
735,nemA1-2_Mod.1,NA,NA
736,nemA1-2_Mod.2,mmal,mal
737,nemA2_Mod.1,NA,NA
738,nemA2_Mod.2,NA,NA
739,nemA2_Mod.3,NA,NA
740,nemA2_Mod.4,mal,mmal
741,nemA3_Mod.1,NA,NA
742,nemA3_Mod.2,mmal,mal
743,nemA3_Mod.3,mal,mmal
744,nemA4_Mod.1,mmal,mal
746,nemA4_Mod.2,mal,mmal
745,nemA4_Mod.3,NA,NA
747,nidA1_Mod.1,NA,NA
748,nidA1_Mod.2,NA,NA
749,nidA1_Mod.3,NA,NA
750,nidA2_Mod.1,NA,NA
751,nidA3_Mod.1,mal,mmal
752,nidA3_Mod.2,NA,NA
753,nidA4_Mod.1,NA,NA
754,nidA5_Mod.1,NA,NA
756,NigAI_Mod.1,NA,NA
757,NigAI_Mod.2,mal,mmal
758,NigAII_Mod.1,NA,NA
759,NigAIII_Mod.1,mmal,mal
760,NigAIII_Mod.2,mal,mmal
761,NigAIV_Mod.1,NA,NA
762,NigAIV_Mod.2,mmal,mal
763,NigAIX_Mod.1,mal,mmal
764,NigAV_Mod.1,NA,NA
765,NigAV_Mod.2,NA,NA
766,NigAVI_Mod.1,NA,NA
767,NigAVII_Mod.1,mmal,mal
768,NigAVII_Mod.2,NA,NA
769,NigAVII_Mod.3,NA,NA
755,NIGAVIII_Mod.1,NA,NA
989,norA__Mod.1,NA,NA
990,norA__Mod.2,NA,NA
988,norA_Mod.1,NA,NA
991,norB_Mod.1,mmal,mal
992,norC_Mod.1,mal,mmal
993,norC_Mod.2,NA,NA
790,nosB_Mod.1,NA,NA
1196,npmA_Mod.18,NA,NA
1178,npmB_Mod.0,NA,NA
1179,npmB_Mod.1,NA,NA
1180,npmC_Mod.2,mal,mmal
1181,npmC_Mod.3,mmal,mal
1182,npmD_Mod.4,NA,NA
1183,npmD_Mod.5,NA,NA
1184,npmE_Mod.6,NA,NA
1185,npmE_Mod.7,NA,NA
1186,npmE_Mod.8,NA,NA
1188,npmF_Mod.10,NA,NA
1189,npmF_Mod.11,NA,NA
1190,npmF_Mod.12,NA,NA
1191,npmF_Mod.13,NA,NA
1187,npmF_Mod.9,NA,NA
1192,npmG_Mod.14,NA,NA
1193,npmG_Mod.15,NA,NA
1194,npmH_Mod.16,NA,NA
1195,npmH_Mod.17,NA,NA
1197,npmI_Mod.19,NA,NA
791,nysA_Mod.1,NA,NA
792,nysB_Mod.1,mal,mmal
793,nysB_Mod.2,NA,NA
794,nysC_Mod.1,mmal,mal
795,nysC_Mod.2,NA,NA
796,nysC_Mod.3,NA,NA
797,nysC_Mod.4,NA,NA
798,nysC_Mod.5,NA,NA
799,nysC_Mod.6,NA,NA
800,nysI_Mod.1,NA,NA
801,nysI_Mod.2,NA,NA
802,nysI_Mod.3,mal,mmal
803,nysI_Mod.4,mmal,mal
804,nysI_Mod.5,NA,NA
805,nysI_Mod.6,NA,NA
806,nysJ_Mod.1,NA,NA
807,nysJ_Mod.2,NA,NA
808,nysJ_Mod.3,NA,NA
809,nysK_Mod.1,NA,NA
829,olmA1_Mod.0,NA,NA
830,olmA1_Mod.1,NA,NA
831,olmA1_Mod.2,mal,mmal
832,olmA1_Mod.3,mmal,mal
833,olmA2_Mod.4,mal,mmal
834,olmA2_Mod.5,NA,NA
835,olmA2_Mod.6,mmal,mal
836,olmA3_Mod.7,NA,NA
837,olmA3_Mod.8,NA,NA
839,olmA4_Mod.10,mal,mmal
838,olmA4_Mod.9,NA,NA
840,olmA5_Mod.11,NA,NA
841,olmA6_Mod.12,NA,NA
842,olmA6_Mod.13,NA,NA
843,olmA6_Mod.14,NA,NA
845,olmA7_Mod.15,mal,mmal
844,olmA7_Mod.16,mmal,mal
846,palA_Mod.1,NA,NA
847,palB_Mod.2,NA,NA
848,palC_Mod.3,NA,NA
849,palD_Mod.4,mmal,mal
850,palE_Mod.5,NA,NA
851,palE_Mod.6,NA,NA
852,palE_Mod.7,mal,mmal
853,palF_Mod.8,NA,NA
854,phn2_Mod.1,NA,NA
855,phn2_Mod.2,NA,NA
856,phn2_Mod.3,NA,NA
857,phn2_Mod.4,NA,NA
866,PieA1_Mod.0,NA,NA
